Date,Sales Value,Type of Sales
2016-01-01,2587450.85149522,New Store Forecast
2016-02-01,2477352.8923928,New Store Forecast
2016-03-01,2913185.23624958,New Store Forecast
2016-04-01,2775745.60976656,New Store Forecast
2016-05-01,3150866.83532587,New Store Forecast
2016-06-01,3188922.00335955,New Store Forecast
2016-07-01,3214745.64625064,New Store Forecast
2016-08-01,2866348.66339173,New Store Forecast
2016-09-01,2538726.84885954,New Store Forecast
2016-10-01,2488148.28746187,New Store Forecast
2016-11-01,2595270.38644805,New Store Forecast
2016-12-01,2573396.6290496,New Store Forecast
